"name","domain","hqCountry","source","sourceEvidenceUrl"
"Amphastar Pharmaceuticals, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amplitude, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amarin Corporation plc",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amneal Pharmaceuticals, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"American Superconductor Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AMERISAFE, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amesite Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Aemetis, Inc",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"American Woodmark Corporation",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Amazon.com, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AnaptysBio, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"The Andersons, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Anghami Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Angi Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AngioDynamics, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Anika Therapeutics Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"ANI Pharmaceuticals, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Anixa Biosciences, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Adlai Nortye Ltd.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"AleAnna, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Annexon, Inc.",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Rich Sparkle Holdings Limited",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
"Antalpha Platform Holding Company",,"US","nasdaq_listed","https://github.com/datasets/nasdaq-listings"
